draw_number,date,date-year,date-month,date-day,numb1-5,numb2-5,numb3-5,numb4-5,numb5-5,numb6-5,numb7-5,sup1-5,sup2-5,numb1-4,numb2-4,numb3-4,numb4-4,numb5-4,numb6-4,numb7-4,sup1-4,sup2-4,numb1-3,numb2-3,numb3-3,numb4-3,numb5-3,numb6-3,numb7-3,sup1-3,sup2-3,numb1-2,numb2-2,numb3-2,numb4-2,numb5-2,numb6-2,numb7-2,sup1-2,sup2-2,numb1-1,numb2-1,numb3-1,numb4-1,numb5-1,numb6-1,numb7-1,sup1-1,sup2-1,result
619,20051227,2005,12,27,39,9,12,30,33,45,5,7,19,42,7,36,23,39,29,16,19,43,24,34,17,3,11,1,43,39,4,22,33,18,12,45,43,28,23,13,13,17,30,7,32,41,10,20,14,45,23,5,4,33,1,29,39,40,39,35,31,4,26,23,41,11,13,41,26,28,33,3,6,32,40,1,15,41,17,10,4,26,30,9,29,14,29,9,23,18,19,5,8,37,0
620,20060103,2006,1,3,42,7,36,23,39,29,16,19,43,24,34,17,3,11,1,43,39,4,22,33,18,12,45,43,28,23,13,13,17,30,7,32,41,10,20,14,45,23,5,4,33,1,29,39,40,39,35,31,4,26,23,41,11,13,41,26,28,33,3,6,32,40,1,15,41,17,10,4,26,30,9,29,14,29,9,23,18,19,5,8,37,35,12,17,2,40,31,39,33,13,1
621,20060110,2006,1,10,24,34,17,3,11,1,43,39,4,22,33,18,12,45,43,28,23,13,13,17,30,7,32,41,10,20,14,45,23,5,4,33,1,29,39,40,39,35,31,4,26,23,41,11,13,41,26,28,33,3,6,32,40,1,15,41,17,10,4,26,30,9,29,14,29,9,23,18,19,5,8,37,35,12,17,2,40,31,39,33,13,12,44,1,40,29,6,22,34,4,0
622,20060117,2006,1,17,22,33,18,12,45,43,28,23,13,13,17,30,7,32,41,10,20,14,45,23,5,4,33,1,29,39,40,39,35,31,4,26,23,41,11,13,41,26,28,33,3,6,32,40,1,15,41,17,10,4,26,30,9,29,14,29,9,23,18,19,5,8,37,35,12,17,2,40,31,39,33,13,12,44,1,40,29,6,22,34,4,41,26,36,4,2,38,11,19,20,0
623,20060124,2006,1,24,13,17,30,7,32,41,10,20,14,45,23,5,4,33,1,29,39,40,39,35,31,4,26,23,41,11,13,41,26,28,33,3,6,32,40,1,15,41,17,10,4,26,30,9,29,14,29,9,23,18,19,5,8,37,35,12,17,2,40,31,39,33,13,12,44,1,40,29,6,22,34,4,41,26,36,4,2,38,11,19,20,27,16,28,44,25,37,23,19,22,0
624,20060131,2006,1,31,45,23,5,4,33,1,29,39,40,39,35,31,4,26,23,41,11,13,41,26,28,33,3,6,32,40,1,15,41,17,10,4,26,30,9,29,14,29,9,23,18,19,5,8,37,35,12,17,2,40,31,39,33,13,12,44,1,40,29,6,22,34,4,41,26,36,4,2,38,11,19,20,27,16,28,44,25,37,23,19,22,22,23,3,20,37,8,41,21,28,0
625,20060207,2006,2,7,39,35,31,4,26,23,41,11,13,41,26,28,33,3,6,32,40,1,15,41,17,10,4,26,30,9,29,14,29,9,23,18,19,5,8,37,35,12,17,2,40,31,39,33,13,12,44,1,40,29,6,22,34,4,41,26,36,4,2,38,11,19,20,27,16,28,44,25,37,23,19,22,22,23,3,20,37,8,41,21,28,20,14,17,8,3,21,2,38,7,0
626,20060214,2006,2,14,41,26,28,33,3,6,32,40,1,15,41,17,10,4,26,30,9,29,14,29,9,23,18,19,5,8,37,35,12,17,2,40,31,39,33,13,12,44,1,40,29,6,22,34,4,41,26,36,4,2,38,11,19,20,27,16,28,44,25,37,23,19,22,22,23,3,20,37,8,41,21,28,20,14,17,8,3,21,2,38,7,5,32,26,4,30,23,28,11,21,0
627,20060221,2006,2,21,15,41,17,10,4,26,30,9,29,14,29,9,23,18,19,5,8,37,35,12,17,2,40,31,39,33,13,12,44,1,40,29,6,22,34,4,41,26,36,4,2,38,11,19,20,27,16,28,44,25,37,23,19,22,22,23,3,20,37,8,41,21,28,20,14,17,8,3,21,2,38,7,5,32,26,4,30,23,28,11,21,13,5,1,21,11,3,35,37,44,0
628,20060228,2006,2,28,14,29,9,23,18,19,5,8,37,35,12,17,2,40,31,39,33,13,12,44,1,40,29,6,22,34,4,41,26,36,4,2,38,11,19,20,27,16,28,44,25,37,23,19,22,22,23,3,20,37,8,41,21,28,20,14,17,8,3,21,2,38,7,5,32,26,4,30,23,28,11,21,13,5,1,21,11,3,35,37,44,17,33,6,41,27,45,25,1,9,2
